module,type,name,res_id,src,value,comments
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_tag_create_date,Created on,Created on,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_account_credit,Credit,Credit,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_account_currency_id,Currency,Currency,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_line_currency_id,Currency,Currency,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_account_partner_id,Customer,Customer,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_line_date,Date,Date,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_account_debit,Debit,Debit,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_line_name,Description,Description,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_account_display_name,Display Name,Display Name,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_line_display_name,Display Name,Display Name,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_tag_display_name,Display Name,Display Name,
analytic,model,"ir.ui.view,arch_db",analytic.view_account_analytic_account_search,Group By...,Group By...,
analytic,model,"ir.ui.view,arch_db",analytic.view_account_analytic_line_filter,Group By...,Group By...,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_account_id,ID,ID,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_line_id,ID,ID,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_tag_id,ID,ID,
analytic,model,"ir.model.fields,help",analytic.field_account_analytic_account_active,"If the active field is set to False, it will allow you to hide the account without removing it.","If the active field is set to False, it will allow you to hide the account without removing it.",
analytic,model,"ir.actions.act_window,help",analytic.account_analytic_line_action,"In Odoo, sales orders and projects are implemented using
                analytic accounts. You can track costs and revenues to analyse
                your margins easily.","In Odoo, sales orders and projects are implemented using
                analytic accounts. You can track costs and revenues to analyse
                your margins easily.",
analytic,model,"ir.actions.act_window,help",analytic.account_analytic_line_action_entries,"In Odoo, sales orders and projects are implemented using
                analytic accounts. You can track costs and revenues to analyse
                your margins easily.","In Odoo, sales orders and projects are implemented using
                analytic accounts. You can track costs and revenues to analyse
                your margins easily.",
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_account___last_update,Last Modified on,Last Modified on,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_line___last_update,Last Modified on,Last Modified on,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_tag___last_update,Last Modified on,Last Modified on,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_account_write_uid,Last Updated by,Last Updated by,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_line_write_uid,Last Updated by,Last Updated by,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_tag_write_uid,Last Updated by,Last Updated by,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_account_write_date,Last Updated on,Last Updated on,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_line_write_date,Last Updated on,Last Updated on,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_tag_write_date,Last Updated on,Last Updated on,
analytic,model,"ir.actions.act_window,help",analytic.account_analytic_line_action,No activity yet on this account.,No activity yet on this account.,
analytic,model,"ir.actions.act_window,help",analytic.account_analytic_line_action_entries,No activity yet.,No activity yet.,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_line_partner_id,Partner,Partner,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_line_unit_amount,Quantity,Quantity,
analytic,model,"ir.ui.view,arch_db",analytic.view_account_analytic_line_tree,Quantity,Quantity,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_account_code,Reference,Reference,
analytic,model,"ir.actions.act_window,help",analytic.account_analytic_line_action,"Revenues will be created automatically when you create customer
                invoices. Customer invoices can be created based on sales orders
                (fixed price invoices), on timesheets (based on the work done) or
                on expenses (e.g. reinvoicing of travel costs).","Revenues will be created automatically when you create customer
                invoices. Customer invoices can be created based on sales orders
                (fixed price invoices), on timesheets (based on the work done) or
                on expenses (e.g. reinvoicing of travel costs).",
analytic,model,"ir.actions.act_window,help",analytic.account_analytic_line_action_entries,"Revenues will be created automatically when you create customer
                invoices. Customer invoices can be created based on sales orders
                (fixed price invoices), on timesheets (based on the work done) or
                on expenses (e.g. reinvoicing of travel costs).","Revenues will be created automatically when you create customer
                invoices. Customer invoices can be created based on sales orders
                (fixed price invoices), on timesheets (based on the work done) or
                on expenses (e.g. reinvoicing of travel costs).",
analytic,model,"ir.ui.view,arch_db",analytic.view_account_analytic_line_filter,Search Analytic Lines,Search Analytic Lines,
analytic,model,"ir.model.fields,help",analytic.field_account_analytic_tag_active,Set active to false to hide the Analytic Tag without removing it.,Set active to false to hide the Analytic Tag without removing it.,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_account_tag_ids,Tags,Tags,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_line_tag_ids,Tags,Tags,
analytic,model,"ir.ui.view,arch_db",analytic.view_account_analytic_line_filter,Tasks Month,Tasks Month,
analytic,model,"ir.ui.view,arch_db",analytic.view_account_analytic_line_tree,Total,Total,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_line_user_id,User,User,
analytic,model,"ir.ui.view,arch_db",analytic.view_account_analytic_account_form,e.g. Project XYZ,e.g. Project XYZ,
auth_crypt,model,"ir.model.fields,field_description",auth_crypt.field_res_users_password_crypt,Encrypted Password,Encrypted Password,
auth_crypt,model,"ir.model,name",auth_crypt.model_res_users,Users,Users,
auth_signup,model,"mail.template,body_html",auth_signup.reset_password_email,"
<div style=""padding:0px;width:600px;margin:auto;background: #FFFFFF repeat top /100%;color:#777777"">
    <table cellspacing=""0"" cellpadding=""0"" style=""width:600px;border-collapse:collapse;background:inherit;color:inherit"">
        <tbody><tr>
            <td valign=""center"" width=""200"" style=""padding:10px 10px 10px 5px;font-size: 12px"">
                <img src=""/logo.png"" style=""padding: 0px; margin: 0px; height: auto; width: 80px;"" alt=""${user.company_id.name}"">
            </td>
        </tr></tbody>
    </table>
</div>
<div style=""padding:0px;width:600px;margin:auto;background: #FFFFFF repeat top /100%;color:#777777"">
    <p>Dear ${object.name},</p>
    <p>A password reset was requested for the Odoo account linked to this email.</p>
    <p>You may change your password by following this link which will remain valid during 24 hours:</p>
    <div style=""text-align: center; margin-top: 16px;"">
        <a href=""${object.signup_url}"" style=""padding: 5px 10px; font-size: 12px; line-height: 18px; color: #FFFFFF; border-color:#875A7B; text-decoration: none; display: inline-block; margin-bottom: 0px; font-weight: 400; text-align: center; vertical-align: middle; cursor: pointer; white-space: nowrap; background-image: none; background-color: #875A7B; border: 1px solid #875A7B; border-radius:3px"">Change password</a>
    </div>
    <p>If you do not expect this, you can safely ignore this email.</p>
    <p>Best regards,</p>
</div>
<div style=""padding:0px;width:600px;margin:auto; margin-top: 10px; background: #fff repeat top /100%;color:#777777"">
    ${user.signature | safe}
    <p style=""font-size: 11px; margin-top: 10px;"">
        <strong>Sent by ${user.company_id.name} using <a href=""www.odoo.com"" style=""text-decoration:none; color: #875A7B;"">Odoo</a></strong>
    </p>
</div>","
<div style=""padding:0px;width:600px;margin:auto;background: #FFFFFF repeat top /100%;color:#777777"">
    <table cellspacing=""0"" cellpadding=""0"" style=""width:600px;border-collapse:collapse;background:inherit;color:inherit"">
        <tbody><tr>
            <td valign=""center"" width=""200"" style=""padding:10px 10px 10px 5px;font-size: 12px"">
                <img src=""/logo.png"" style=""padding: 0px; margin: 0px; height: auto; width: 80px;"" alt=""${user.company_id.name}"">
            </td>
        </tr></tbody>
    </table>
</div>
<div style=""padding:0px;width:600px;margin:auto;background: #FFFFFF repeat top /100%;color:#777777"">
    <p>Dear ${object.name},</p>
    <p>A password reset was requested for the Odoo account linked to this email.</p>
    <p>You may change your password by following this link which will remain valid during 24 hours:</p>
    <div style=""text-align: center; margin-top: 16px;"">
        <a href=""${object.signup_url}"" style=""padding: 5px 10px; font-size: 12px; line-height: 18px; color: #FFFFFF; border-color:#875A7B; text-decoration: none; display: inline-block; margin-bottom: 0px; font-weight: 400; text-align: center; vertical-align: middle; cursor: pointer; white-space: nowrap; background-image: none; background-color: #875A7B; border: 1px solid #875A7B; border-radius:3px"">Change password</a>
    </div>
    <p>If you do not expect this, you can safely ignore this email.</p>
    <p>Best regards,</p>
</div>
<div style=""padding:0px;width:600px;margin:auto; margin-top: 10px; background: #fff repeat top /100%;color:#777777"">
    ${user.signature | safe}
    <p style=""font-size: 11px; margin-top: 10px;"">
        <strong>Sent by ${user.company_id.name} using <a href=""www.odoo.com"" style=""text-decoration:none; color: #875A7B;"">Odoo</a></strong>
    </p>
</div>",
auth_signup,model,"mail.template,body_html",auth_signup.set_password_email,"
<div style=""padding:0px;width:600px;margin:auto;background: #FFFFFF repeat top /100%;color:#777777"">
    <table cellspacing=""0"" cellpadding=""0"" style=""width:600px;border-collapse:collapse;background:inherit;color:inherit"">
        <tbody><tr>
            <td valign=""center"" width=""200"" style=""padding:10px 10px 10px 5px;font-size: 12px"">
                <img src=""/logo.png"" style=""padding: 0px; margin: 0px; height: auto; width: 80px;"" alt=""${user.company_id.name}"">
            </td>
        </tr></tbody>
    </table>
</div>
<div style=""padding:0px;width:600px;margin:auto;background: #FFFFFF repeat top /100%;color:#777777"">
<p>Dear ${object.name},</p>
    <p>
        You have been invited to connect to ""${object.company_id.name}"" in order to get access to your documents in Odoo.
    </p>
    <p>
        To accept the invitation, click on the following link:
    </p>
    <div style=""text-align: center; margin-top: 16px;"">
         <a href=""${object.signup_url}"" style=""padding: 5px 10px; font-size: 12px; line-height: 18px; color: #FFFFFF; border-color:#875A7B; text-decoration: none; display: inline-block; margin-bottom: 0px; font-weight: 400; text-align: center; vertical-align: middle; cursor: pointer; white-space: nowrap; background-image: none; background-color: #875A7B; border: 1px solid #875A7B; border-radius:3px"">Accept invitation to ""${object.company_id.name}""</a>
    </div>
    <p>Best regards,</p>
</div>
<div style=""padding:0px;width:600px;margin:auto; margin-top: 10px; background: #fff repeat top /100%;color:#777777"">
    ${user.signature | safe}
    <p style=""font-size: 11px; margin-top: 10px;"">
        <strong>Sent by ${user.company_id.name} using <a href=""www.odoo.com"" style=""text-decoration:none; color: #875A7B;"">Odoo</a></strong>
    </p>
</div>","
<div style=""padding:0px;width:600px;margin:auto;background: #FFFFFF repeat top /100%;color:#777777"">
    <table cellspacing=""0"" cellpadding=""0"" style=""width:600px;border-collapse:collapse;background:inherit;color:inherit"">
        <tbody><tr>
            <td valign=""center"" width=""200"" style=""padding:10px 10px 10px 5px;font-size: 12px"">
                <img src=""/logo.png"" style=""padding: 0px; margin: 0px; height: auto; width: 80px;"" alt=""${user.company_id.name}"">
            </td>
        </tr></tbody>
    </table>
</div>
<div style=""padding:0px;width:600px;margin:auto;background: #FFFFFF repeat top /100%;color:#777777"">
<p>Dear ${object.name},</p>
    <p>
        You have been invited to connect to ""${object.company_id.name}"" in order to get access to your documents in Odoo.
    </p>
    <p>
        To accept the invitation, click on the following link:
    </p>
    <div style=""text-align: center; margin-top: 16px;"">
         <a href=""${object.signup_url}"" style=""padding: 5px 10px; font-size: 12px; line-height: 18px; color: #FFFFFF; border-color:#875A7B; text-decoration: none; display: inline-block; margin-bottom: 0px; font-weight: 400; text-align: center; vertical-align: middle; cursor: pointer; white-space: nowrap; background-image: none; background-color: #875A7B; border: 1px solid #875A7B; border-radius:3px"">Accept invitation to ""${object.company_id.name}""</a>
    </div>
    <p>Best regards,</p>
</div>
<div style=""padding:0px;width:600px;margin:auto; margin-top: 10px; background: #fff repeat top /100%;color:#777777"">
    ${user.signature | safe}
    <p style=""font-size: 11px; margin-top: 10px;"">
        <strong>Sent by ${user.company_id.name} using <a href=""www.odoo.com"" style=""text-decoration:none; color: #875A7B;"">Odoo</a></strong>
    </p>
</div>",
auth_signup,model,"mail.template,subject",auth_signup.set_password_email,${object.company_id.name} invitation to connect on Odoo,${object.company_id.name} invitation to connect on Odoo,
auth_signup,model,"mail.template,body_html",auth_signup.mail_template_user_signup_account_created,"<div style=""padding:0px;width:600px;margin:auto;background: #FFFFFF repeat top /100%;color:#777777"">
    <table cellspacing=""0"" cellpadding=""0"" style=""width:600px;border-collapse:collapse;background:inherit;color:inherit"">
        <tbody><tr>
            <td valign=""center"" width=""200"" style=""padding:10px 10px 10px 5px;font-size: 12px"">
                <img src=""/logo.png"" style=""padding: 0px; margin: 0px; height: auto; width: 80px;"" alt=""${user.company_id.name}""/>
            </td>
        </tr></tbody>
    </table>
</div>
<div style=""padding:0px;width:600px;margin:auto;background: #FFFFFF repeat top /100%;color:#777777"">
    <p>Dear ${object.name},</p>
    <p>
        Your account has been successfully created!
    </p>
    <p>
        Your login: ${object.email}
        <br/>
    </p>
    <p>
        To gain access to your account, you can use the following link:
    </p>
    <div style=""text-align: center; margin-top: 16px;"">
        <a href=""/web/login?${ctx['auth_login']}"" style=""padding: 5px 10px; font-size: 12px; line-height: 18px; color: #FFFFFF; border-color:#875A7B; text-decoration: none; display: inline-block; margin-bottom: 0px; font-weight: 400; text-align: center; vertical-align: middle; cursor: pointer; white-space: nowrap; background-image: none; background-color: #875A7B; border: 1px solid #875A7B; border-radius:3px"">Go to My Account</a>
    </div>
    <p>Best regards,</p>
</div>
<div style=""padding:0px;width:600px;margin:auto; margin-top: 10px; background: #fff repeat top /100%;color:#777777"">
    ${user.signature | safe}
    <p style=""font-size: 11px; margin-top: 10px;"">
        <strong>Sent by ${user.company_id.name} using <a href=""www.odoo.com"" style=""text-decoration:none; color: #875A7B;"">Odoo</a></strong>
    </p>
</div>","<div style=""padding:0px;width:600px;margin:auto;background: #FFFFFF repeat top /100%;color:#777777"">
    <table cellspacing=""0"" cellpadding=""0"" style=""width:600px;border-collapse:collapse;background:inherit;color:inherit"">
        <tbody><tr>
            <td valign=""center"" width=""200"" style=""padding:10px 10px 10px 5px;font-size: 12px"">
                <img src=""/logo.png"" style=""padding: 0px; margin: 0px; height: auto; width: 80px;"" alt=""${user.company_id.name}""/>
            </td>
        </tr></tbody>
    </table>
</div>
<div style=""padding:0px;width:600px;margin:auto;background: #FFFFFF repeat top /100%;color:#777777"">
    <p>Dear ${object.name},</p>
    <p>
        Your account has been successfully created!
    </p>
    <p>
        Your login: ${object.email}
        <br/>
    </p>
    <p>
        To gain access to your account, you can use the following link:
    </p>
    <div style=""text-align: center; margin-top: 16px;"">
        <a href=""/web/login?${ctx['auth_login']}"" style=""padding: 5px 10px; font-size: 12px; line-height: 18px; color: #FFFFFF; border-color:#875A7B; text-decoration: none; display: inline-block; margin-bottom: 0px; font-weight: 400; text-align: center; vertical-align: middle; cursor: pointer; white-space: nowrap; background-image: none; background-color: #875A7B; border: 1px solid #875A7B; border-radius:3px"">Go to My Account</a>
    </div>
    <p>Best regards,</p>
</div>
<div style=""padding:0px;width:600px;margin:auto; margin-top: 10px; background: #fff repeat top /100%;color:#777777"">
    ${user.signature | safe}
    <p style=""font-size: 11px; margin-top: 10px;"">
        <strong>Sent by ${user.company_id.name} using <a href=""www.odoo.com"" style=""text-decoration:none; color: #875A7B;"">Odoo</a></strong>
    </p>
</div>",
auth_signup,model,"ir.ui.view,arch_db",auth_signup.res_users_form_view,<strong>A password reset has been requested for this user. An email containing the following link has been sent:</strong>,<strong>A password reset has been requested for this user. An email containing the following link has been sent:</strong>,
auth_signup,model,"ir.ui.view,arch_db",auth_signup.res_users_form_view,<strong>An invitation email containing the following subscription link has been sent:</strong>,<strong>An invitation email containing the following subscription link has been sent:</strong>,
auth_signup,model,"ir.ui.view,arch_db",auth_signup.signup,Already have an account?,Already have an account?,
auth_signup,code,addons/auth_signup/controllers/main.py,79,An email has been sent with credentials to reset your password,An email has been sent with credentials to reset your password,
auth_signup,code,addons/auth_signup/controllers/main.py,51,Another user is already registered using this email address.,Another user is already registered using this email address.,
auth_signup,code,addons/auth_signup/controllers/main.py,136,Authentication Failed.,Authentication Failed.,
auth_signup,model,"ir.ui.view,arch_db",auth_signup.reset_password,Back to Login,Back to Login Page,
auth_signup,code,addons/auth_signup/models/res_users.py,146,Cannot send email: user %s has no email address.,Cannot send email: user %s has no email address.,
auth_signup,model,"ir.ui.view,arch_db",auth_signup.reset_password,Confirm,Confirm,
auth_signup,model,"ir.ui.view,arch_db",auth_signup.fields,Confirm Password,Confirm Password,
auth_signup,selection,"res.users,state",0,Confirmed,Confirmed,
auth_signup,model,"ir.model,name",auth_signup.model_res_partner,Contact,Contact,
auth_signup,code,addons/auth_signup/controllers/main.py,54,Could not create a new account.,Could not create a new account.,
auth_signup,code,addons/auth_signup/controllers/main.py,83,Could not reset your password,Could not reset your password,
auth_signup,model,"ir.model.fields,field_description",auth_signup.field_res_config_settings_auth_signup_uninvited,Customer Account,Customer Account,
auth_signup,model,"ir.ui.view,arch_db",auth_signup.res_config_settings_view_form,Default Access Rights,Default Access Rights,
auth_signup,model,"ir.ui.view,arch_db",auth_signup.login,Don't have an account?,Don't have an account?,
auth_signup,model,"ir.model.fields,field_description",auth_signup.field_res_config_settings_auth_signup_reset_password,Enable password reset from Login page,Enable password reset from Login page,
auth_signup,model,"ir.ui.view,arch_db",auth_signup.res_config_settings_view_form,Enable password reset from Login page,Enable password reset from Login page,
auth_signup,model,"ir.model,name",auth_signup.model_ir_model_fields,Fields,Fields,
auth_signup,selection,"res.config.settings,auth_signup_uninvited",0,Free sign up (B2C),Free sign up (B2C),
auth_signup,model,"ir.model,name",auth_signup.model_ir_http,HTTP routing,HTTP routing,
auth_signup,model,"ir.ui.view,arch_db",auth_signup.res_config_settings_view_form,"If unchecked, only invited users may sign up.","If unchecked, only invited users may sign up.",
auth_signup,code,addons/auth_signup/controllers/main.py,114,Invalid signup token,Invalid signup token,
auth_signup,model,"ir.ui.view,arch_db",auth_signup.res_config_settings_view_form,Let your customers log in to see their documents,Let your customers log in to see their documents,
auth_signup,selection,"res.users,state",0,Never Connected,Never Connected,
auth_signup,code,addons/auth_signup/controllers/main.py,74,No login provided.,No login provided.,
auth_signup,selection,"res.config.settings,auth_signup_uninvited",0,On invitation (B2B),On invitation (B2B),
auth_signup,model,"ir.ui.view,arch_db",auth_signup.fields,Password,Password,
auth_signup,model,"ir.ui.view,arch_db",auth_signup.res_config_settings_view_form,Password Reset,Password Reset,
auth_signup,model,"mail.template,subject",auth_signup.reset_password_email,Password reset,Password reset,
auth_signup,code,addons/auth_signup/controllers/main.py,124,Passwords do not match; please retype them.,Passwords do not match; please retype them.,
auth_signup,model,"ir.ui.view,arch_db",auth_signup.login,Reset Password,Reset Password,
auth_signup,code,addons/auth_signup/models/res_users.py,110,Reset password: invalid username or email,Reset password: invalid username or email,
auth_signup,model,"ir.ui.view,arch_db",auth_signup.res_users_form_view,Send Reset Password Instructions,Send Reset Password Instructions,
auth_signup,model,"ir.ui.view,arch_db",auth_signup.res_users_form_view,Send an Invitation Email,Send an Invitation Email,
auth_signup,model,"ir.ui.view,arch_db",auth_signup.signup,Sign up,Sign up,
auth_signup,model,"ir.model.fields,field_description",auth_signup.field_res_partner_signup_expiration,Signup Expiration,Signup Expiration,
auth_signup,model,"ir.model.fields,field_description",auth_signup.field_res_users_signup_expiration,Signup Expiration,Signup Expiration,
auth_signup,model,"ir.model.fields,field_description",auth_signup.field_res_partner_signup_token,Signup Token,Signup Token,
auth_signup,model,"ir.model.fields,field_description",auth_signup.field_res_users_signup_token,Signup Token,Signup Token,
auth_signup,model,"ir.model.fields,field_description",auth_signup.field_res_partner_signup_type,Signup Token Type,Signup Token Type,
auth_signup,model,"ir.model.fields,field_description",auth_signup.field_res_users_signup_type,Signup Token Type,Signup Token Type,
auth_signup,model,"ir.model.fields,field_description",auth_signup.field_res_partner_signup_valid,Signup Token is Valid,Signup Token is Valid,
auth_signup,model,"ir.model.fields,field_description",auth_signup.field_res_users_signup_valid,Signup Token is Valid,Signup Token is Valid,
auth_signup,model,"ir.model.fields,field_description",auth_signup.field_res_partner_signup_url,Signup URL,Signup URL,
auth_signup,model,"ir.model.fields,field_description",auth_signup.field_res_users_signup_url,Signup URL,Signup URL,
auth_signup,code,addons/auth_signup/models/res_users.py,88,Signup is not allowed for uninvited users,Signup is not allowed for uninvited users,
auth_signup,code,addons/auth_signup/models/res_partner.py,151,Signup token '%s' is no longer valid,Signup token '%s' is no longer valid,
auth_signup,code,addons/auth_signup/models/res_partner.py,147,Signup token '%s' is not valid,Signup token '%s' is not valid,
auth_signup,model,"ir.model.fields,field_description",auth_signup.field_res_users_state,Status,Status,
auth_signup,model,"ir.model.fields,field_description",auth_signup.field_res_config_settings_auth_signup_template_user_id,Template user for new users created through signup,Template user for new users created through signup,
auth_signup,code,addons/auth_signup/controllers/main.py,122,The form was not properly filled in.,The form was not properly filled in.,
auth_signup,model,"ir.model,name",auth_signup.model_res_users,Users,Users,
auth_signup,model,"mail.template,subject",auth_signup.mail_template_user_signup_account_created,Welcome to ${object.company_id.name}!,Welcome to ${object.company_id.name}!,
auth_signup,model,"ir.ui.view,arch_db",auth_signup.fields,Your Email,Your Email,
auth_signup,model,"ir.ui.view,arch_db",auth_signup.reset_password,Your Email,Your Email,
auth_signup,model,"ir.ui.view,arch_db",auth_signup.fields,Your Name,Your Name,
auth_signup,model,"ir.ui.view,arch_db",auth_signup.fields,e.g. John Doe,e.g. John Doe,
auth_signup,model,"ir.model,name",auth_signup.model_res_config_settings,res.config.settings,res.config.settings,
base,model,"ir.module.module,description",base.module_l10n_cn,"

    科目类型\会计科目表模板\增值税\辅助核算类别\管理会计凭证簿\财务会计凭证簿

    添加中文省份数据

    增加小企业会计科目表

    ","

    科目类型\会计科目表模板\增值税\辅助核算类别\管理会计凭证簿\财务会计凭证簿

    添加中文省份数据

    增加小企业会计科目表

    ",
base,model,"ir.module.module,description",base.module_l10n_cn_small_business,"

    科目类型\会计科目表模板\增值税\辅助核算类别\管理会计凭证簿\财务会计凭证簿

    添加中文省份数据

    增加小企业会计科目表

    ","

    科目类型\会计科目表模板\增值税\辅助核算类别\管理会计凭证簿\财务会计凭证簿

    添加中文省份数据

    增加小企业会计科目表

    ",
base,model,"ir.module.module,description",base.module_pos_reprint,"

Allow cashier to reprint receipts

","

Allow cashier to reprint receipts

",
base,model,"ir.module.module,description",base.module_l10n_hu,"

Base module for Hungarian localization
==========================================

This module consists :

 - Generic Hungarian chart of accounts
 - Hungarian taxes
 - Hungarian Bank information
 ","

Base module for Hungarian localization
==========================================

This module consists :

 - Generic Hungarian chart of accounts
 - Hungarian taxes
 - Hungarian Bank information
 ",
